Title,Link
Why Algebraic Effects?,https://antelang.org/blog/why_effects/
Postgres IDE in VS Code,https://techcommunity.microsoft.com/blog/adforpostgresql/announcing-a-new-ide-for-postgresql-in-vs-code-from-microsoft/4414648
How to Make a Living as a Writer,https://thewalrus.ca/how-to-make-a-living-as-a-writer/
Mermaid: Generation of diagrams like flowcharts or sequence diagrams from text,https://github.com/mermaid-js/mermaid
Find Your People,https://foundersatwork.posthaven.com/find-your-people
Modification of acetaminophen to reduce liver toxicity and enhance drug efficacy,https://www.societyforscience.org/regeneron-sts/2025-student-finalists/chloe-lee/
Show HN: Genetic Boids Web Simulation,https://attentionmech.github.io/genetic-boids/
"Show HN: HNRelevant – Add a ""related"" section to Hacker News",https://github.com/imdj/HNRelevant
Root for your friends,https://josephthacker.com/personal/2025/05/13/root-for-your-friends.html
The world of Japan's PC-98 computer,https://strangecomforts.com/the-strange-world-of-japans-pc-98-computer/
